     Pays de destination,Date,Value,continent,Continent Total
     Kenya,2015-09-01,10241.873,AFRIQUE,13998.77
     Ouganda,2015-09-01,5074.993,AFRIQUE,19073.763
     R.D.C.(1) ,2015-09-01,575.53,AFRIQUE,19649.292999999998
     Rwanda,2015-09-01,1657.313,AFRIQUE,21306.606
     Tanzanie,2015-09-01,21345.314,AFRIQUE,42651.92
     Zambie,2015-09-01,1213.095,AFRIQUE,43865.015
     Zimbabwe,2015-09-01,13.64,AFRIQUE,43878.655
     Autres pays d'Afrique,2015-09-01,602.9510000000001,AFRIQUE,44481.606
 IV. AMERIQUE,2015-09-01,203.442,AFRIQUE,44685.048
       Etats-Unis ,2015-09-01,139.04,AFRIQUE,44824.088
       Canada,2015-09-01,64.282,AFRIQUE,44888.37
       Autres pays d'Amérique,2015-09-01,0.12,AFRIQUE,44888.490000000005
  V. OCEANIE,2015-09-01,7.87,AFRIQUE,44896.36000000001
        Australie,2015-09-01,0.0,AFRIQUE,44896.36000000001
        Autres,2015-09-01,7.87,AFRIQUE,44904.23000000001
 VI. PAYS NON SPECIFIES,2015-09-01,0.0,AFRIQUE,44904.23000000001
TOTAL,2015-09-01,77787.108,AFRIQUE,122691.338
  I. EUROPE,2015-10-01,7760.183999999999,AFRIQUE,130451.522
   1. Union Européenne,2015-10-01,3152.1769999999997,AFRIQUE,133603.699
     Allemagne,2015-10-01,205.679,AFRIQUE,133809.378
     Belgique - Luxembourg,2015-10-01,815.907,AFRIQUE,134625.285
     Danemark,2015-10-01,23.461,AFRIQUE,134648.746
     Espagne,2015-10-01,0.0,AFRIQUE,134648.746
     France,2015-10-01,1269.874,AFRIQUE,135918.62000000002
     Grèce,2015-10-01,0.0,AFRIQUE,135918.62000000002
     Irlande,2015-10-01,0.0,AFRIQUE,135918.62000000002
     Italie,2015-10-01,92.845,AFRIQUE,136011.46500000003
     Pays-Bas,2015-10-01,732.309,AFRIQUE,136743.77400000003
     Portugal,2015-10-01,0.0,AFRIQUE,136743.77400000003
     Roumanie,2015-10-01,6.96,AFRIQUE,136750.73400000003
     Autres pays de l'U.E.,2015-10-01,5.142,AFRIQUE,136755.87600000002
   2. AUTRES,2015-10-01,4608.007,AFRIQUE,141363.88300000003
     Suisse,2015-10-01,20.093,AFRIQUE,141383.97600000002
     Turquie,2015-10-01,0.0,AFRIQUE,141383.97600000002
     Royaume-Uni,2015-10-01,69.37,AFRIQUE,141453.34600000002
     Russie,2015-10-01,4020.0,AFRIQUE,145473.34600000002
     Autres pays d'Europe,2015-10-01,498.54400000000004,AFRIQUE,145971.89
II. ASIE,2015-10-01,35031.369,,
     Arabie Saoudite,2015-10-01,5351.068,ASIE,5351.068
     Bangladesh,2015-10-01,3.469,ASIE,5354.537
     Corée du Nord,2015-10-01,0.0,ASIE,5354.537
     Corée du Sud,2015-10-01,1.925,ASIE,5356.462
     Emirats Arabes Unis,2015-10-01,0.0,ASIE,5356.462
     Hong-Kong,2015-10-01,0.356,ASIE,5356.818
     Iran,2015-10-01,0.0,ASIE,5356.818
     Japon,2015-10-01,575.441,ASIE,5932.259
     Pakistan,2015-10-01,14.697,ASIE,5946.956
     Rép. Pop. de Chine,2015-10-01,4338.41,ASIE,10285.366
     Taiwan,2015-10-01,2.462,ASIE,10287.828
     Union Indienne,2015-10-01,10470.063,ASIE,20757.891
     Autres pays d'Asie,2015-10-01,14273.478,ASIE,35031.369
III. AFRIQUE,2015-10-01,27326.007999999998,,
     Afrique du Sud,2015-10-01,3965.153,AFRIQUE,3965.153
     Djibouti,2015-10-01,0.0,AFRIQUE,3965.153
     Kenya,2015-10-01,4549.033,AFRIQUE,8514.186
     Ouganda,2015-10-01,4191.408,AFRIQUE,12705.594000000001
     R.D.C.(1) ,2015-10-01,320.541,AFRIQUE,13026.135
     Rwanda,2015-10-01,1428.139,AFRIQUE,14454.274
     Tanzanie,2015-10-01,12617.86,AFRIQUE,27072.134
     Zambie,2015-10-01,0.6,AFRIQUE,27072.733999999997
     Zimbabwe,2015-10-01,0.0,AFRIQUE,27072.733999999997
     Autres pays d'Afrique,2015-10-01,253.27400000000006,AFRIQUE,27326.007999999998
 IV. AMERIQUE,2015-10-01,1431.535,AFRIQUE,28757.542999999998
       Etats-Unis ,2015-10-01,1322.208,AFRIQUE,30079.750999999997
       Canada,2015-10-01,106.177,AFRIQUE,30185.927999999996
       Autres pays d'Amérique,2015-10-01,3.15,AFRIQUE,30189.077999999998
  V. OCEANIE,2015-10-01,0.211,AFRIQUE,30189.288999999997
        Australie,2015-10-01,0.031,AFRIQUE,30189.319999999996
        Autres,2015-10-01,0.18,AFRIQUE,30189.499999999996
 VI. PAYS NON SPECIFIES,2015-10-01,0.0,AFRIQUE,30189.499999999996
TOTAL,2015-10-01,71549.307,AFRIQUE,101738.807
  I. EUROPE,2015-11-01,7731.0509999999995,AFRIQUE,109469.85800000001
   1. Union Européenne,2015-11-01,1852.0440000000003,AFRIQUE,111321.902
     Allemagne,2015-11-01,171.384,AFRIQUE,111493.28600000001
     Belgique - Luxembourg,2015-11-01,458.173,AFRIQUE,111951.459
     Danemark,2015-11-01,136.91,AFRIQUE,112088.369
     Espagne,2015-11-01,0.006,AFRIQUE,112088.375
     France,2015-11-01,764.942,AFRIQUE,112853.317
     Grèce,2015-11-01,0.0,AFRIQUE,112853.317
     Irlande,2015-11-01,0.0,AFRIQUE,112853.317
     Italie,2015-11-01,56.563,AFRIQUE,112909.87999999999
     Pays-Bas,2015-11-01,222.668,AFRIQUE,113132.548
     Portugal,2015-11-01,0.0,AFRIQUE,113132.548
     Roumanie,2015-11-01,0.045,AFRIQUE,113132.593
     Autres pays de l'U.E.,2015-11-01,41.353,AFRIQUE,113173.946
   2. AUTRES,2015-11-01,5879.007,AFRIQUE,119052.953
     Suisse,2015-11-01,28.655,AFRIQUE,119081.608
     Turquie,2015-11-01,0.0,AFRIQUE,119081.608
     Royaume-Uni,2015-11-01,105.901,AFRIQUE,119187.50899999999
     Russie,2015-11-01,4820.0,AFRIQUE,124007.50899999999
     Autres pays d'Europe,2015-11-01,924.4509999999999,AFRIQUE,124931.95999999999
II. ASIE,2015-11-01,23879.812795605492,,
     Arabie Saoudite,2015-11-01,3025.882,ASIE,3025.882
     Bangladesh,2015-11-01,0.0,ASIE,3025.882
     Corée du Nord,2015-11-01,0.0,ASIE,3025.882
     Corée du Sud,2015-11-01,22.379,ASIE,3048.261
     Emirats Arabes Unis,2015-11-01,0.0,ASIE,3048.261
     Hong-Kong,2015-11-01,0.582,ASIE,3048.843
     Iran,2015-11-01,0.0,ASIE,3048.843
     Japon,2015-11-01,443.433,ASIE,3492.276
     Pakistan,2015-11-01,110.369,ASIE,3602.645
     Rép. Pop. de Chine,2015-11-01,2906.378,ASIE,6509.023
     Taiwan,2015-11-01,20.302,ASIE,6529.325
     Union Indienne,2015-11-01,8214.405795605493,ASIE,14743.730795605494
     Autres pays d'Asie,2015-11-01,9136.081999999999,ASIE,23879.812795605492
III. AFRIQUE,2015-11-01,34016.939,,
     Afrique du Sud,2015-11-01,2909.973,AFRIQUE,2909.973
     Djibouti,2015-11-01,0.008,AFRIQUE,2909.9809999999998
     Kenya,2015-11-01,4511.581,AFRIQUE,7421.562
     Ouganda,2015-11-01,4189.698,AFRIQUE,11611.26
     R.D.C.(1) ,2015-11-01,562.526,AFRIQUE,12173.786
     Rwanda,2015-11-01,1979.979,AFRIQUE,14153.765
     Tanzanie,2015-11-01,17036.452,AFRIQUE,31190.217
     Zambie,2015-11-01,2252.805,AFRIQUE,33443.022
     Zimbabwe,2015-11-01,23.095,AFRIQUE,33466.117
     Autres pays d'Afrique,2015-11-01,550.822,AFRIQUE,34016.939
 IV. AMERIQUE,2015-11-01,543.375,AFRIQUE,34560.314
       Etats-Unis ,2015-11-01,490.602,AFRIQUE,35050.916
       Canada,2015-11-01,50.743,AFRIQUE,35101.659
       Autres pays d'Amérique,2015-11-01,2.03,AFRIQUE,35103.689
  V. OCEANIE,2015-11-01,19.885,AFRIQUE,35123.574
        Australie,2015-11-01,19.885,AFRIQUE,35143.459
        Autres,2015-11-01,0.0,AFRIQUE,35143.459
 VI. PAYS NON SPECIFIES,2015-11-01,0.0,AFRIQUE,35143.459
TOTAL,2015-11-01,66191.06279560548,AFRIQUE,101334.52179560548
  I. EUROPE,2015-12-01,11203.055,AFRIQUE,112537.57679560548
   1. Union Européenne,2015-12-01,2379.259,AFRIQUE,114916.83579560548
     Allemagne,2015-12-01,225.153,AFRIQUE,115141.98879560549
     Belgique - Luxembourg,2015-12-01,789.251,AFRIQUE,115931.23979560549
     Danemark,2015-12-01,25.015,AFRIQUE,115956.25479560549
     Espagne,2015-12-01,10.684,AFRIQUE,115966.93879560549
     France,2015-12-01,737.658,AFRIQUE,116704.59679560548
     Grèce,2015-12-01,21.633,AFRIQUE,116726.22979560548
     Irlande,2015-12-01,0.0,AFRIQUE,116726.22979560548
     Italie,2015-12-01,250.363,AFRIQUE,116976.59279560548
     Pays-Bas,2015-12-01,249.486,AFRIQUE,117226.07879560548
     Portugal,2015-12-01,0.0,AFRIQUE,117226.07879560548
     Roumanie,2015-12-01,0.0,AFRIQUE,117226.07879560548
     Autres pays de l'U.E.,2015-12-01,70.01599999999999,AFRIQUE,117296.09479560549
   2. AUTRES,2015-12-01,8823.796,AFRIQUE,126119.89079560549
     Suisse,2015-12-01,8.206,AFRIQUE,126128.0967956055
     Turquie,2015-12-01,0.0,AFRIQUE,126128.0967956055
     Royaume-Uni,2015-12-01,1805.083,AFRIQUE,127933.1797956055
     Russie,2015-12-01,6020.0,AFRIQUE,133953.17979560548
     Autres pays d'Europe,2015-12-01,990.507,AFRIQUE,134943.6867956055
II. ASIE,2015-12-01,24162.542999999998,,
     Arabie Saoudite,2015-12-01,2170.262,ASIE,2170.262
     Bangladesh,2015-12-01,0.0,ASIE,2170.262
     Corée du Nord,2015-12-01,0.0,ASIE,2170.262
     Corée du Sud,2015-12-01,1.616,ASIE,2171.878
     Emirats Arabes Unis,2015-12-01,0.0,ASIE,2171.878
     Hong-Kong,2015-12-01,1.706,ASIE,2173.5840000000003
     Iran,2015-12-01,0.0,ASIE,2173.5840000000003
     Japon,2015-12-01,595.368,ASIE,2768.952
     Pakistan,2015-12-01,55.643,ASIE,2824.5950000000003
     Rép. Pop. de Chine,2015-12-01,3391.706,ASIE,6216.301
     Taiwan,2015-12-01,0.008,ASIE,6216.309
     Union Indienne,2015-12-01,8602.143,ASIE,14818.452000000001
     Autres pays d'Asie,2015-12-01,9344.090999999997,ASIE,24162.542999999998
III. AFRIQUE,2015-12-01,33491.361,,
     Afrique du Sud,2015-12-01,4064.238,AFRIQUE,4064.238
     Djibouti,2015-12-01,0.024,AFRIQUE,4064.2619999999997
     Kenya,2015-12-01,7493.325,AFRIQUE,11557.587
     Ouganda,2015-12-01,3700.813,AFRIQUE,15258.4
     R.D.C.(1) ,2015-12-01,134.072,AFRIQUE,15392.472
     Rwanda,2015-12-01,5492.862,AFRIQUE,20885.334
     Tanzanie,2015-12-01,11184.976,AFRIQUE,32070.309999999998
     Zambie,2015-12-01,1107.55,AFRIQUE,33177.86
     Zimbabwe,2015-12-01,235.45,AFRIQUE,33413.31
     Autres pays d'Afrique,2015-12-01,78.051,AFRIQUE,33491.361
 IV. AMERIQUE,2015-12-01,631.9549999999999,AFRIQUE,34123.316
       Etats-Unis ,2015-12-01,599.161,AFRIQUE,34722.477
       Canada,2015-12-01,32.032,AFRIQUE,34754.509
       Autres pays d'Amérique,2015-12-01,0.762,AFRIQUE,34755.271
  V. OCEANIE,2015-12-01,0.0,AFRIQUE,34755.271
        Australie,2015-12-01,0.0,AFRIQUE,34755.271
        Autres,2015-12-01,0.0,AFRIQUE,34755.271
 VI. PAYS NON SPECIFIES,2015-12-01,0.0,AFRIQUE,34755.271
TOTAL,2015-12-01,69488.914,AFRIQUE,104244.185
  I. EUROPE,2016-01-01,6102.925,AFRIQUE,110347.11
   1. Union Européenne,2016-01-01,3189.707,AFRIQUE,113536.817
     Allemagne,2016-01-01,140.606,AFRIQUE,113677.423
     Belgique - Luxembourg,2016-01-01,2110.738,AFRIQUE,115788.161
     Danemark,2016-01-01,16.276,AFRIQUE,115804.43699999999
     Espagne,2016-01-01,0.588,AFRIQUE,115805.025
     France,2016-01-01,114.316,AFRIQUE,115919.341
     Grèce,2016-01-01,0.0,AFRIQUE,115919.341
     Irlande,2016-01-01,0.041,AFRIQUE,115919.382
     Italie,2016-01-01,386.571,AFRIQUE,116305.953
     Pays-Bas,2016-01-01,394.431,AFRIQUE,116700.38399999999
     Portugal,2016-01-01,0.0,AFRIQUE,116700.38399999999
     Roumanie,2016-01-01,0.0,AFRIQUE,116700.38399999999
     Autres pays de l'U.E.,2016-01-01,26.14,AFRIQUE,116726.52399999999
   2. AUTRES,2016-01-01,2913.2180000000003,AFRIQUE,119639.74199999998
     Suisse,2016-01-01,41.069,AFRIQUE,119680.81099999999
     Turquie,2016-01-01,144.936,AFRIQUE,119825.74699999999
     Royaume-Uni,2016-01-01,2727.213,AFRIQUE,122552.95999999999
     Russie,2016-01-01,0.0,AFRIQUE,122552.95999999999
     Autres pays d'Europe,2016-01-01,0.0,AFRIQUE,122552.95999999999
II. ASIE,2016-01-01,14700.354,,
     Arabie Saoudite,2016-01-01,813.595,ASIE,813.595
     Bangladesh,2016-01-01,0.0,ASIE,813.595
     Corée du Nord,2016-01-01,38.304,ASIE,851.899
     Corée du Sud,2016-01-01,54.492,ASIE,906.391
     Emirats Arabes Unis,2016-01-01,4026.593,ASIE,4932.9839999999995
     Hong-Kong,2016-01-01,0.0,ASIE,4932.9839999999995
     Iran,2016-01-01,0.0,ASIE,4932.9839999999995
     Japon,2016-01-01,463.401,ASIE,5396.384999999999
     Pakistan,2016-01-01,29.12,ASIE,5425.504999999999
     Rép. Pop. de Chine,2016-01-01,2606.58,ASIE,8032.084999999999
     Taiwan,2016-01-01,4.692,ASIE,8036.776999999999
     Union Indienne,2016-01-01,6426.55,ASIE,14463.327
     Autres pays d'Asie,2016-01-01,237.027,ASIE,14700.354
III. AFRIQUE,2016-01-01,24466.237,,
     Afrique du Sud,2016-01-01,1226.652,AFRIQUE,1226.652
     Djibouti,2016-01-01,0.117,AFRIQUE,1226.769
     Kenya,2016-01-01,4002.216,AFRIQUE,5228.985
     Ouganda,2016-01-01,4405.798,AFRIQUE,9634.783
     R.D.C.(1) ,2016-01-01,294.078,AFRIQUE,9928.860999999999
     Rwanda,2016-01-01,1145.305,AFRIQUE,11074.166
     Tanzanie,2016-01-01,11205.325,AFRIQUE,22279.491
     Zambie,2016-01-01,1996.923,AFRIQUE,24276.414
     Zimbabwe,2016-01-01,29.393,AFRIQUE,24305.807
     Autres pays d'Afrique,2016-01-01,160.43,AFRIQUE,24466.237
 IV. AMERIQUE,2016-01-01,260.89,AFRIQUE,24727.127
       Etats-Unis ,2016-01-01,162.921,AFRIQUE,24890.048
       Canada,2016-01-01,73.504,AFRIQUE,24963.552
       Autres pays d'Amérique,2016-01-01,24.465,AFRIQUE,24988.017
  V. OCEANIE,2016-01-01,44.873999999999995,AFRIQUE,25032.891
        Australie,2016-01-01,26.7,AFRIQUE,25059.591
        Autres,2016-01-01,18.174,AFRIQUE,25077.765
 VI. PAYS NON SPECIFIES,2016-01-01,0.0,AFRIQUE,25077.765
TOTAL,2016-01-01,45575.280000000006,AFRIQUE,70653.04500000001
  I. EUROPE,2016-02-01,15430.292000000001,AFRIQUE,86083.33700000001
   1. Union Européenne,2016-02-01,1150.871,AFRIQUE,87234.20800000001
     Allemagne,2016-02-01,307.736,AFRIQUE,87541.94400000002
     Belgique - Luxembourg,2016-02-01,238.869,AFRIQUE,87780.81300000002
     Danemark,2016-02-01,32.693,AFRIQUE,87813.50600000002
     Espagne,2016-02-01,1.892,AFRIQUE,87815.39800000003
     France,2016-02-01,252.148,AFRIQUE,88067.54600000003
     Grèce,2016-02-01,0.0,AFRIQUE,88067.54600000003
     Irlande,2016-02-01,0.217,AFRIQUE,88067.76300000004
     Italie,2016-02-01,268.191,AFRIQUE,88335.95400000004
     Pays-Bas,2016-02-01,6.778,AFRIQUE,88342.73200000005
     Portugal,2016-02-01,0.0,AFRIQUE,88342.73200000005
     Roumanie,2016-02-01,0.0,AFRIQUE,88342.73200000005
     Autres pays de l'U.E.,2016-02-01,42.347,AFRIQUE,88385.07900000004
   2. AUTRES,2016-02-01,14279.421,AFRIQUE,102664.50000000004
     Suisse,2016-02-01,1.677,AFRIQUE,102666.17700000004
     Turquie,2016-02-01,216.178,AFRIQUE,102882.35500000004
     Royaume-Uni,2016-02-01,13455.628,AFRIQUE,116337.98300000004
     Russie,2016-02-01,0.0,AFRIQUE,116337.98300000004
     Autres pays d'Europe,2016-02-01,605.938,AFRIQUE,116943.92100000003
II. ASIE,2016-02-01,17986.366,,
     Arabie Saoudite,2016-02-01,641.579,ASIE,641.579
     Bangladesh,2016-02-01,0.0,ASIE,641.579
     Corée du Nord,2016-02-01,0.0,ASIE,641.579
     Corée du Sud,2016-02-01,24.245,ASIE,665.824
     Emirats Arabes Unis,2016-02-01,7625.694,ASIE,8291.518
     Hong-Kong,2016-02-01,23.13,ASIE,8314.648
     Iran,2016-02-01,0.0,ASIE,8314.648
     Japon,2016-02-01,384.023,ASIE,8698.670999999998
     Pakistan,2016-02-01,28.6,ASIE,8727.270999999999
     Rép. Pop. de Chine,2016-02-01,3071.156,ASIE,11798.427
     Union Indienne,2016-02-01,6038.27,ASIE,17836.697
     Autres pays d'Asie,2016-02-01,149.66899999999998,ASIE,17986.366
III. AFRIQUE,2016-02-01,33680.704,,
     Afrique du Sud,2016-02-01,1283.304,AFRIQUE,1283.304
     Djibouti,2016-02-01,0.0,AFRIQUE,1283.304
     Kenya,2016-02-01,4739.892,AFRIQUE,6023.196
     Ouganda,2016-02-01,9278.47,AFRIQUE,15301.666
     R.D.C.(1) ,2016-02-01,359.544,AFRIQUE,15661.21
     Rwanda,2016-02-01,1397.775,AFRIQUE,17058.985
     Tanzanie,2016-02-01,15435.982,AFRIQUE,32494.967
     Zambie,2016-02-01,1009.9,AFRIQUE,33504.867
     Zimbabwe,2016-02-01,0.0,AFRIQUE,33504.867
     Autres pays d'Afrique,2016-02-01,175.837,AFRIQUE,33680.704
 IV. AMERIQUE,2016-02-01,251.624,AFRIQUE,33932.328
       Etats-Unis ,2016-02-01,246.957,AFRIQUE,34179.285
       Canada,2016-02-01,4.251,AFRIQUE,34183.536
       Autres pays d'Amérique,2016-02-01,0.41600000000000004,AFRIQUE,34183.952
  V. OCEANIE,2016-02-01,7.5,AFRIQUE,34191.452
        Australie,2016-02-01,0.02,AFRIQUE,34191.471999999994
        Autres,2016-02-01,7.48,AFRIQUE,34198.952
 VI. PAYS NON SPECIFIES,2016-02-01,0.0,AFRIQUE,34198.952
TOTAL,2016-02-01,67356.48599999999,AFRIQUE,101555.438
  I. EUROPE,2016-03-01,2533.5860000000002,AFRIQUE,104089.02399999999
   1. Union Européenne,2016-03-01,2122.744,AFRIQUE,106211.768
     Allemagne,2016-03-01,111.994,AFRIQUE,106323.762
     Belgique - Luxembourg,2016-03-01,911.267,AFRIQUE,107235.02900000001
     Danemark,2016-03-01,26.115,AFRIQUE,107261.14400000001
     Espagne,2016-03-01,8.667,AFRIQUE,107269.81100000002
     France,2016-03-01,698.383,AFRIQUE,107968.19400000002
     Grèce,2016-03-01,0.0,AFRIQUE,107968.19400000002
     Irlande,2016-03-01,0.0,AFRIQUE,107968.19400000002
     Italie,2016-03-01,254.17,AFRIQUE,108222.36400000002
     Pays-Bas,2016-03-01,66.282,AFRIQUE,108288.64600000002
     Portugal,2016-03-01,0.0,AFRIQUE,108288.64600000002
     Roumanie,2016-03-01,0.0,AFRIQUE,108288.64600000002
     Autres pays de l'U.E.,2016-03-01,45.866,AFRIQUE,108334.51200000002
   2. AUTRES,2016-03-01,410.842,AFRIQUE,108745.35400000002
     Suisse,2016-03-01,17.838,AFRIQUE,108763.19200000002
     Turquie,2016-03-01,341.933,AFRIQUE,109105.12500000003
     Royaume-Uni,2016-03-01,48.82,AFRIQUE,109153.94500000004
     Russie,2016-03-01,0.0,AFRIQUE,109153.94500000004
     Autres pays d'Europe,2016-03-01,2.251,AFRIQUE,109156.19600000004
II. ASIE,2016-03-01,22419.207000000002,,
     Arabie Saoudite,2016-03-01,2418.591,ASIE,2418.591
     Bangladesh,2016-03-01,0.104,ASIE,2418.6949999999997
     Corée du Nord,2016-03-01,0.0,ASIE,2418.6949999999997
     Corée du Sud,2016-03-01,0.0,ASIE,2418.6949999999997
     Emirats Arabes Unis,2016-03-01,8753.78,ASIE,11172.475
     Hong-Kong,2016-03-01,2.571,ASIE,11175.046
     Iran,2016-03-01,0.0,ASIE,11175.046
     Japon,2016-03-01,490.997,ASIE,11666.043
     Pakistan,2016-03-01,44.317,ASIE,11710.359999999999
     Rép. Pop. de Chine,2016-03-01,3249.618,ASIE,14959.978
     Union Indienne,2016-03-01,7305.92,ASIE,22265.898
     Autres pays d'Asie,2016-03-01,153.30900000000003,ASIE,22419.207000000002
III. AFRIQUE,2016-03-01,34313.216,,
     Afrique du Sud,2016-03-01,8126.435,AFRIQUE,8126.435
     Djibouti,2016-03-01,0.0,AFRIQUE,8126.435
     Kenya,2016-03-01,5729.015,AFRIQUE,13855.45
     Ouganda,2016-03-01,4078.624,AFRIQUE,17934.074
     R.D.C.(1) ,2016-03-01,384.88,AFRIQUE,18318.954
     Rwanda,2016-03-01,1463.88,AFRIQUE,19782.834000000003
     Tanzanie,2016-03-01,12898.885,AFRIQUE,32681.719000000005
     Zambie,2016-03-01,1418.431,AFRIQUE,34100.15
     Zimbabwe,2016-03-01,0.0,AFRIQUE,34100.15
     Autres pays d'Afrique,2016-03-01,213.066,AFRIQUE,34313.216
 IV. AMERIQUE,2016-03-01,222.029,AFRIQUE,34535.245
       Etats-Unis ,2016-03-01,165.672,AFRIQUE,34700.917
       Canada,2016-03-01,55.357,AFRIQUE,34756.274000000005
       Autres pays d'Amérique,2016-03-01,1.0,AFRIQUE,34757.274000000005
  V. OCEANIE,2016-03-01,0.0,AFRIQUE,34757.274000000005
        Australie,2016-03-01,0.0,AFRIQUE,34757.274000000005
        Autres,2016-03-01,0.0,AFRIQUE,34757.274000000005
 VI. PAYS NON SPECIFIES,2016-03-01,0.0,AFRIQUE,34757.274000000005
TOTAL,2016-03-01,59488.03800000001,AFRIQUE,94245.312
  I. EUROPE,2016-04-01,5675.022999999999,AFRIQUE,99920.335
   1. Union Européenne,2016-04-01,1733.04,AFRIQUE,101653.375
     Allemagne,2016-04-01,251.312,AFRIQUE,101904.687
     Belgique - Luxembourg,2016-04-01,268.962,AFRIQUE,102173.649
     Danemark,2016-04-01,4.704,AFRIQUE,102178.353
     Espagne,2016-04-01,2.913,AFRIQUE,102181.266
     France,2016-04-01,771.732,AFRIQUE,102952.998
     Grèce,2016-04-01,21.725,AFRIQUE,102974.72300000001
     Irlande,2016-04-01,0.243,AFRIQUE,102974.96600000001
     Italie,2016-04-01,387.776,AFRIQUE,103362.74200000001
     Pays-Bas,2016-04-01,11.486,AFRIQUE,103374.22800000002
     Portugal,2016-04-01,0.0,AFRIQUE,103374.22800000002
     Roumanie,2016-04-01,0.0,AFRIQUE,103374.22800000002
     Autres pays de l'U.E.,2016-04-01,12.187,AFRIQUE,103386.41500000002
   2. AUTRES,2016-04-01,3941.9829999999997,AFRIQUE,107328.39800000002
     Suisse,2016-04-01,3.874,AFRIQUE,107332.27200000001
     Turquie,2016-04-01,251.825,AFRIQUE,107584.09700000001
     Royaume-Uni,2016-04-01,684.204,AFRIQUE,108268.301
     Russie,2016-04-01,3000.0,AFRIQUE,111268.301
     Autres pays d'Europe,2016-04-01,2.08,AFRIQUE,111270.38100000001
II. ASIE,2016-04-01,21573.252000000004,,
     Arabie Saoudite,2016-04-01,1049.918,ASIE,1049.918
     Bangladesh,2016-04-01,0.0,ASIE,1049.918
     Corée du Nord,2016-04-01,0.0,ASIE,1049.918
     Corée du Sud,2016-04-01,18.01,ASIE,1067.9279999999999
     Emirats Arabes Unis,2016-04-01,6164.993,ASIE,7232.921
     Hong-Kong,2016-04-01,1.056,ASIE,7233.977
     Iran,2016-04-01,0.0,ASIE,7233.977
     Japon,2016-04-01,349.512,ASIE,7583.489
     Pakistan,2016-04-01,210.98,ASIE,7794.468999999999
     Rép. Pop. de Chine,2016-04-01,6056.854,ASIE,13851.323
     Taiwan,2016-04-01,5.54,ASIE,13856.863000000001
     Union Indienne,2016-04-01,7521.363,ASIE,21378.226000000002
     Autres pays d'Asie,2016-04-01,195.02599999999998,ASIE,21573.252000000004
III. AFRIQUE,2016-04-01,27322.071,,
     Afrique du Sud,2016-04-01,269.807,AFRIQUE,269.807
     Djibouti,2016-04-01,0.0,AFRIQUE,269.807
     Kenya,2016-04-01,4062.923,AFRIQUE,4332.73
     Ouganda,2016-04-01,2807.303,AFRIQUE,7140.032999999999
     R.D.C.(1) ,2016-04-01,317.917,AFRIQUE,7457.95
     Rwanda,2016-04-01,2132.223,AFRIQUE,9590.172999999999
     Tanzanie,2016-04-01,14340.674,AFRIQUE,23930.847
     Zambie,2016-04-01,2642.421,AFRIQUE,26573.268
     Zimbabwe,2016-04-01,44.0,AFRIQUE,26617.268
     Autres pays d'Afrique,2016-04-01,704.8030000000001,AFRIQUE,27322.071
 IV. AMERIQUE,2016-04-01,417.72,AFRIQUE,27739.791
       Etats-Unis ,2016-04-01,314.613,AFRIQUE,28054.404000000002
       Canada,2016-04-01,95.358,AFRIQUE,28149.762000000002
       Autres pays d'Amérique,2016-04-01,7.7490000000000006,AFRIQUE,28157.511000000002
  V. OCEANIE,2016-04-01,47.753,AFRIQUE,28205.264000000003
        Australie,2016-04-01,47.753,AFRIQUE,28253.017000000003
        Autres,2016-04-01,0.0,AFRIQUE,28253.017000000003
 VI. PAYS NON SPECIFIES,2016-04-01,0.0,AFRIQUE,28253.017000000003
TOTAL,2016-04-01,55035.819,AFRIQUE,83288.83600000001
  I. EUROPE,2016-05-01,6153.536,AFRIQUE,89442.372
   1. Union Européenne,2016-05-01,3010.926,AFRIQUE,92453.29800000001
     Allemagne,2016-05-01,159.609,AFRIQUE,92612.907
     Belgique - Luxembourg,2016-05-01,1563.346,AFRIQUE,94176.25300000001
     Danemark,2016-05-01,104.161,AFRIQUE,94280.414
     Espagne,2016-05-01,0.21,AFRIQUE,94280.62400000001
     France,2016-05-01,258.552,AFRIQUE,94539.176
     Grèce,2016-05-01,0.0,AFRIQUE,94539.176
     Irlande,2016-05-01,0.0,AFRIQUE,94539.176
     Italie,2016-05-01,830.438,AFRIQUE,95369.614
     Pays-Bas,2016-05-01,38.486,AFRIQUE,95408.1
     Portugal,2016-05-01,7.0,AFRIQUE,95415.1
     Roumanie,2016-05-01,0.0,AFRIQUE,95415.1
     Autres pays de l'U.E.,2016-05-01,49.124,AFRIQUE,95464.224
   2. AUTRES,2016-05-01,3142.61,AFRIQUE,98606.834
     Suisse,2016-05-01,28.346,AFRIQUE,98635.18000000001
     Turquie,2016-05-01,949.284,AFRIQUE,99584.464
     Royaume-Uni,2016-05-01,1963.973,AFRIQUE,101548.437
     Russie,2016-05-01,201.007,AFRIQUE,101749.444
     Autres pays d'Europe,2016-05-01,0.0,AFRIQUE,101749.444
II. ASIE,2016-05-01,18758.136,,
     Arabie Saoudite,2016-05-01,1161.152,ASIE,1161.152
     Bangladesh,2016-05-01,0.0,ASIE,1161.152
     Corée du Nord,2016-05-01,0.0,ASIE,1161.152
     Corée du Sud,2016-05-01,7.5,ASIE,1168.652
     Emirats Arabes Unis,2016-05-01,3052.058,ASIE,4220.71
     Hong-Kong,2016-05-01,3.299,ASIE,4224.009
